A,Y,w,labor_share,labor_only_claim_coverage,aggregate_gap,gap_share
0.1,1.06391086815,0.628674603906,0.590909090909,1.57168650976,0,0
0.101862899024,1.06508167862,0.628302388362,0.589910051945,1.5707559709,0,0
0.103760501977,1.06627358804,0.627924111241,0.588895869019,1.5698102781,0,0
0.105693455356,1.06748696439,0.627539688775,0.58786637187,1.56884922194,0,0
0.107662417705,1.06872218167,0.627149036548,0.586821390354,1.56787259137,0,0
0.109668059834,1.06997961995,0.626752069506,0.585760754525,1.56688017377,0,0
0.11171106505,1.07125966548,0.626348701974,0.584684294719,1.56587175493,0,0
0.113792129392,1.07256271079,0.625938847666,0.583591841644,1.56484711917,0,0
0.11591196186,1.07388915471,0.625522419707,0.582483226469,1.56380604927,0,0
0.118071284667,1.07523940255,0.625099330642,0.58135828092,1.5627483266,0,0
0.120270833477,1.0766138661,0.62466949246,0.580216837372,1.56167373115,0,0
0.12251135766,1.07801296379,0.624232816608,0.579058728951,1.56058204152,0,0
0.124793620547,1.07943712074,0.623789214009,0.577883789636,1.55947303502,0,0
0.127118399687,1.08088676886,0.623338595088,0.576691854361,1.55834648772,0,0
0.129486487115,1.08236234693,0.622880869783,0.575482759126,1.55720217446,0,0
0.13189868962,1.08386430071,0.622415947577,0.574256341103,1.55603986894,0,0
0.134355829022,1.08539308303,0.621943737512,0.573012438752,1.55485934378,0,0
0.13685874245,1.08694915388,0.621464148219,0.571750891935,1.55366037055,0,0
0.139408282628,1.08853298049,0.620977087939,0.570471542036,1.55244271985,0,0
0.142005318165,1.09014503745,0.620482464549,0.569174232082,1.55120616137,0,0
0.144650733852,1.09178580678,0.61998018559,0.567858806863,1.54995046397,0,0
0.147345430962,1.09345577805,0.619470158291,0.566525113065,1.54867539573,0,0
0.150090327558,1.09515544845,0.618952289602,0.565172999394,1.547380724,0,0
0.152886358806,1.09688532291,0.618426486222,0.563802316712,1.54606621556,0,0
0.155734477293,1.09864591419,0.617892654629,0.562412918167,1.54473163657,0,0
0.158635653351,1.10043774297,0.617350701111,0.561004659334,1.54337675278,0,0
0.16159087539,1.10226133796,0.616800531801,0.559577398352,1.5420013295,0,0
0.164601150231,1.10411723601,0.616242052709,0.558130996068,1.54060513177,0,0
0.167667503453,1.10600598217,0.615675169757,0.556665316178,1.53918792439,0,0
0.170790979739,1.10792812982,0.615099788817,0.555180225376,1.53774947204,0,0
0.173972643234,1.1098842408,0.614515815745,0.553675593504,1.53628953936,0,0
0.177213577908,1.11187488543,0.613923156421,0.552151293697,1.53480789105,0,0
0.180514887922,1.1139006427,0.61332171679,0.550607202544,1.53330429197,0,0
0.183877698008,1.11596210032,0.612711402897,0.549043200234,1.53177850724,0,0
0.187303153851,1.11805985482,0.612092120934,0.54745917072,1.53023030234,0,0
0.190792422477,1.1201945117,0.61146377728,0.545855001872,1.5286594432,0,0
0.194346692654,1.12236668549,0.610826278545,0.54423058564,1.52706569636,0,0
0.197967175295,1.12457699986,0.610179531612,0.542585818213,1.52544882903,0,0
0.201655103872,1.12682608775,0.609523443689,0.540920600183,1.52380860922,0,0
0.205411734835,1.12911459146,0.608857922348,0.539234836708,1.52214480587,0,0
0.20923834804,1.13144316273,0.608182875581,0.537528437676,1.52045718895,0,0
0.213136247184,1.1338124629,0.607498211841,0.535801317872,1.5187455296,0,0
0.217106760254,1.13622316297,0.606803840096,0.534053397144,1.51700960024,0,0
0.221151239973,1.13867594373,0.606099669882,0.532284600566,1.51524917471,0,0
0.225271064265,1.14117149586,0.605385611349,0.530494858613,1.51346402837,0,0
0.229467636723,1.14371052004,0.60466157532,0.52868410732,1.5116539383,0,0
0.233742387089,1.14629372705,0.603927473338,0.526852288453,1.50981868334,0,0
0.238096771738,1.1489218379,0.603183217727,0.524999349677,1.50795804432,0,0
0.242532274176,1.1515955839,0.602428721646,0.523125244719,1.50607180412,0,0
0.247050405546,1.15431570681,0.601663899142,0.521229933537,1.50415974786,0,0
0.251652705141,1.15708295892,0.600888665211,0.519313382483,1.50222166303,0,0
0.25634074093,1.15989810318,0.600102935854,0.517375564466,1.50025733964,0,0
0.261116110092,1.16276191328,0.599306628138,0.515416459118,1.49826657035,0,0
0.265980439559,1.16567517379,0.598499660253,0.513436052951,1.49624915063,0,0
0.270935386573,1.16863868026,0.597681951573,0.511434339516,1.49420487893,0,0
0.275982639247,1.17165323933,0.596853422718,0.509411319564,1.49213355679,0,0
0.281123917141,1.17471966882,0.596013995615,0.507367001196,1.49003498904,0,0
0.286360971851,1.17783879788,0.595163593559,0.505301400014,1.4879089839,0,0
0.291695587602,1.18101146706,0.594302141276,0.503214539276,1.48575535319,0,0
0.297129581858,1.18423852846,0.593429564989,0.501106450035,1.48357391247,0,0
0.30266480594,1.18752084579,0.592545792475,0.498977171285,1.48136448119,0,0
0.308303145657,1.19085929455,0.591650753134,0.496826750098,1.47912688284,0,0
0.31404652195,1.19425476206,0.590744378053,0.494655241761,1.47686094513,0,0
0.319896891543,1.19770814766,0.589826600067,0.492462709901,1.47456650017,0,0
0.325856247615,1.20122036273,0.588897353825,0.490249226618,1.47224338456,0,0
0.331926620473,1.20479233087,0.587956575856,0.488014872598,1.46989143964,0,0
0.338110078248,1.20842498799,0.587004204632,0.485759737234,1.46751051158,0,0
0.344408727597,1.21211928241,0.586040180632,0.483483918735,1.46510045158,0,0
0.350824714424,1.21587617498,0.585064446408,0.481187524228,1.46266111602,0,0
0.357360224607,1.21969663922,0.58407694665,0.478870669861,1.46019236662,0,0
0.364017484745,1.22358166137,0.583077628246,0.47653348089,1.45769407061,0,0
0.370798762917,1.22753224056,0.58206644035,0.474176091768,1.45516610087,0,0
0.377706369454,1.23154938891,0.581043334443,0.471798646222,1.45260833611,0,0
0.384742657726,1.23563413161,0.580008264399,0.469401297327,1.450020661,0,0
0.391910024943,1.23978750708,0.578961186541,0.466984207565,1.44740296635,0,0
